CF,Static,AugOnly,MaxCount,Proposed
1.0,0.666667,1.000000,1.000000,1.000000
1.4,0.666665,0.999578,0.998718,0.999578
1.8,0.664591,0.976213,0.945090,0.976654
2.2,0.645085,0.889840,0.814020,0.895537
2.6,nan,nan,nan,nan
3.0,nan,nan,nan,nan
